"","NAME","NAMEJOIN","NAMECOUNTY","COUNTYJOIN","DATE","DATA_SOURC","IMG_VERIFD","X","Y","INDEX","P_CODE","ALT_NAME1","ALT_NAME2","ALT_NAME3","ALT_NAME4","STATEJOIN","PAYAM","BOMA","FUNC_CLASS","CONF_SCORE","SRC_VERIFD","SRC_V_REM"
"1","Choroi","Choroi","ChoroiKapoetaNorth","KapoetaNorth",2019-04-01,"AOK",NA,33.55417,4.89081,18727,"","","","","","EasternEquatoria","Chumakori","",6,30,0,""
"2","Dakatuan","Dakatuan","DakatuanAwerial","Awerial",2019-04-01,"AOK",NA,31.62312,5.8796,18726,"","","","","","Lakes","Puluk","",6,30,0,""
"3","Ayila","Ayila","AyilaAwerial","Awerial",2019-04-01,"AOK",NA,31.29934,6.06395,18723,"","","","","","Lakes","Dor","",6,30,0,""
"4","Ruar","Ruar","RuarAwerial","Awerial",2019-04-01,"AOK",NA,31.22136,6.19792,18724,"","","","","","Lakes","Alel I","",6,30,0,""
"5","Kaap","Kaap","KaapYirolEast","YirolEast",2019-04-01,"AOK",NA,30.46911,6.75462,18725,"","","","","","Lakes","Pagarau","",6,30,0,""
"6","Adodi","Adodi","AdodiJuba","Juba",NA,"OCHA COD, NBS Central Equatoria",1,31.63075,4.81441,10487,"BW-0371","","","","","CentralEquatoria","Rejaf","Gumbo",6,20,0,"inside County"
"7","Jaming","Jaming","JamingTerekeka","Terekeka",2018-08-02,"AOK",0,30.66523,6.03261,18510,"","","","","","CentralEquatoria","Tali","",6,30,0,""
"8","Block3","Block_3","Block_3BorSouth","BorSouth",2018-08-02,"AOK",0,31.57363,6.21469,18505,"","","","","","Jonglei","Bor","",8,30,0,""
"9","Block4","Block_4","Block_4BorSouth","BorSouth",2018-08-02,"AOK",0,31.58092,6.21643,18506,"","","","","","Jonglei","Bor","",8,30,0,""
"10","AkuotAyol","Akuot_Ayol","Akuot_AyolBorSouth","BorSouth",2018-08-02,"AOK",0,31.56943,6.22019,18508,"","","","","","Jonglei","Bor","",6,30,0,""
"11","Block6","Block_6","Block_6BorSouth","BorSouth",2018-08-02,"AOK",0,31.58159,6.22058,18500,"","","","","","Jonglei","Bor","",8,30,0,""
"12","RiverSirri","River_Sirri","River_SirriRaja","Raja",NA,"WFP, NBS Western Bahr el Ghazal",0,24.71667,9.38333,8454,"BA-0027","","","","","WesternBahrelGhazal","Ere","",6,20,1,""
"13","RiglDiofo","Rigl_Diofo","Rigl_DiofoRaja","Raja",NA,"WFP, UNMISS, NBS Western Bahr el Ghazal",0,24.71667,9.46667,8460,"BA-0033","","","","","WesternBahrelGhazal","Ere","",6,30,1,""
"14","Block7","Block_7","Block_7BorSouth","BorSouth",2018-08-02,"AOK",0,31.57617,6.22545,18503,"","","","","","Jonglei","Bor","",8,30,0,""
"15","Block8","Block_8","Block_8BorSouth","BorSouth",2018-08-02,"AOK",0,31.58479,6.22559,18501,"","","","","","Jonglei","Bor","",8,30,0,""
"16","Block9","Block_9","Block_9BorSouth","BorSouth",2018-08-02,"AOK",0,31.58517,6.23384,18502,"","","","","","Jonglei","Bor","",8,30,0,""
"17","Block10","Block_10","Block_10BorSouth","BorSouth",2018-08-02,"AOK",0,31.57994,6.23545,18504,"","","","","","Jonglei","Bor","",8,30,0,""
"18","Kongdai","Kongdai","KongdaiBorSouth","BorSouth",2018-08-02,"AOK",0,31.57463,6.25009,18497,"","","","","","Jonglei","Bor","",6,30,0,""
"19","Payuiny","Payuiny","PayuinyBorSouth","BorSouth",2018-08-02,"AOK",0,31.56582,6.27581,18498,"","","","","","Jonglei","Bor","",6,30,0,""
"20","Ayibull","Ayibull","AyibullTonjNorth","TonjNorth",2018-08-02,"AOK",0,28.88352,7.87734,18518,"","","","","","Warrap","Kirik","",6,30,0,""
"21","Paluony","Paluony","PaluonyUror","Uror",2018-08-02,"AOK",0,31.52541,8.1006,18516,"","","","","","Jonglei","Ayod","",6,30,0,""
"22","Rubnor","Rubnor","RubnorMayendit","Mayendit",2018-08-02,"AOK",0,30.0832,8.44267,18511,"","","","","","Unity","Thaker","",6,30,0,""
"23","Custom","Custom","CustomRaja","Raja",2018-08-02,"AOK",0,25.69006,8.48062,18517,"","","","","","WesternBahrelGhazal","Raga","",6,30,0,""
