month,county_join,county_label,state_join,state_label,settlement_count,assessment_count,,,,,
2020-02-01,Juba,Juba,CentralEquatoria,Central Equatoria,429,25,,,,,
2020-02-01,Kajo_keji,Kajo-keji,CentralEquatoria,Central Equatoria,272,18,,,,,
2020-02-01,Lainya,Lainya,CentralEquatoria,Central Equatoria,217,0,,,,,
2020-02-01,Morobo,Morobo,CentralEquatoria,Central Equatoria,137,8,,,,,
2020-02-01,Terekeka,Terekeka,CentralEquatoria,Central Equatoria,371,23,,,,,
2020-02-01,Yei,Yei,CentralEquatoria,Central Equatoria,254,16,,,,,
2020-02-01,Budi,Budi,EasternEquatoria,Eastern Equatoria,232,19,,,,,
2020-02-01,Ikotos,Ikotos,EasternEquatoria,Eastern Equatoria,231,0,,,,,
2020-02-01,KapoetaEast,Kapoeta East,EasternEquatoria,Eastern Equatoria,536,64,,,,,
2020-02-01,KapoetaNorth,Kapoeta North,EasternEquatoria,Eastern Equatoria,179,27,,,,,
2020-02-01,KapoetaSouth,Kapoeta South,EasternEquatoria,Eastern Equatoria,83,14,,,,,
2020-02-01,Lafon,Lafon,EasternEquatoria,Eastern Equatoria,99,0,,,,,
2020-02-01,Magwi,Magwi,EasternEquatoria,Eastern Equatoria,139,8,,,,,
2020-02-01,Torit,Torit,EasternEquatoria,Eastern Equatoria,242,20,,,,,
2020-02-01,Akobo,Akobo,Jonglei,Jonglei,189,55,,,,,
2020-02-01,Ayod,Ayod,Jonglei,Jonglei,274,38,,,,,
2020-02-01,BorSouth,Bor South,Jonglei,Jonglei,420,59,,,,,
2020-02-01,CanalPigi,Canal/Pigi,Jonglei,Jonglei,128,27,,,,,
2020-02-01,Duk,Duk,Jonglei,Jonglei,126,17,,,,,
2020-02-01,Fangak,Fangak,Jonglei,Jonglei,218,36,,,,,
2020-02-01,Nyirol,Nyirol,Jonglei,Jonglei,223,26,,,,,
2020-02-01,Pibor,Pibor,Jonglei,Jonglei,354,0,,,,,
2020-02-01,Pochalla,Pochalla,Jonglei,Jonglei,75,0,,,,,
2020-02-01,TwicEast,Twic East,Jonglei,Jonglei,222,25,,,,,
2020-02-01,Uror,Uror,Jonglei,Jonglei,212,26,,,,,
2020-02-01,Awerial,Awerial,Lakes,Lakes,203,58,,,,,
2020-02-01,Cueibet,Cueibet,Lakes,Lakes,396,24,,,,,
2020-02-01,RumbekCentre,Rumbek Centre,Lakes,Lakes,374,41,,,,,
2020-02-01,RumbekEast,Rumbek East,Lakes,Lakes,392,24,,,,,
2020-02-01,RumbekNorth,Rumbek North,Lakes,Lakes,119,21,,,,,
2020-02-01,Wulu,Wulu,Lakes,Lakes,145,10,,,,,
2020-02-01,YirolEast,Yirol East,Lakes,Lakes,367,43,,,,,
2020-02-01,YirolWest,Yirol West,Lakes,Lakes,359,43,,,,,
2020-02-01,AweilCentre,Aweil Centre,NorthernBahrelGhazal,Northern Bahr el Ghazal,217,38,,,,,
2020-02-01,AweilEast,Aweil East,NorthernBahrelGhazal,Northern Bahr el Ghazal,714,65,,,,,
2020-02-01,AweilNorth,Aweil North,NorthernBahrelGhazal,Northern Bahr el Ghazal,352,54,,,,,
2020-02-01,AweilSouth,Aweil South,NorthernBahrelGhazal,Northern Bahr el Ghazal,316,34,,,,,
2020-02-01,AweilWest,Aweil West,NorthernBahrelGhazal,Northern Bahr el Ghazal,370,44,,,,,
2020-02-01,Abiemnhom,Abiemnhom,Unity,Unity,23,15,,,,,
2020-02-01,Guit,Guit,Unity,Unity,194,22,,,,,
2020-02-01,Koch,Koch,Unity,Unity,437,34,,,,,
2020-02-01,Leer,Leer,Unity,Unity,346,33,,,,,
2020-02-01,Mayendit,Mayendit,Unity,Unity,367,34,,,,,
2020-02-01,Mayom,Mayom,Unity,Unity,163,22,,,,,
2020-02-01,Panyijiar,Panyijiar,Unity,Unity,479,35,,,,,
2020-02-01,Pariang,Pariang,Unity,Unity,188,63,,,,,
2020-02-01,Rubkona,Rubkona,Unity,Unity,290,26,,,,,
2020-02-01,Baliet,Baliet,UpperNile,Upper Nile,130,17,,,,,
2020-02-01,Fashoda,Fashoda,UpperNile,Upper Nile,199,40,,,,,
2020-02-01,Longochuk,Longochuk,UpperNile,Upper Nile,101,0,,,,,
2020-02-01,LuakpinyNasir,Luakpiny/Nasir,UpperNile,Upper Nile,156,26,,,,,
2020-02-01,Maban,Maban,UpperNile,Upper Nile,123,14,,,,,
2020-02-01,Maiwut,Maiwut,UpperNile,Upper Nile,82,0,,,,,
2020-02-01,Malakal,Malakal,UpperNile,Upper Nile,120,27,,,,,
2020-02-01,Manyo,Manyo,UpperNile,Upper Nile,82,14,,,,,
2020-02-01,Melut,Melut,UpperNile,Upper Nile,220,21,,,,,
2020-02-01,Panyikang,Panyikang,UpperNile,Upper Nile,97,21,,,,,
2020-02-01,Renk,Renk,UpperNile,Upper Nile,287,32,,,,,
2020-02-01,Ulang,Ulang,UpperNile,Upper Nile,139,30,,,,,
2020-02-01,GogrialEast,Gogrial East,Warrap,Warrap,263,15,,,,,
2020-02-01,GogrialWest,Gogrial West,Warrap,Warrap,358,23,,,,,
2020-02-01,TonjEast,Tonj East,Warrap,Warrap,73,10,,,,,
2020-02-01,TonjNorth,Tonj North,Warrap,Warrap,378,35,,,,,
2020-02-01,TonjSouth,Tonj South,Warrap,Warrap,91,13,,,,,
2020-02-01,Twic,Twic,Warrap,Warrap,358,45,,,,,
2020-02-01,JurRiver,Jur River,WesternBahrelGhazal,Western Bahr el Ghazal,812,68,,,,,
2020-02-01,Raja,Raja,WesternBahrelGhazal,Western Bahr el Ghazal,342,48,,,,,
2020-02-01,Wau,Wau,WesternBahrelGhazal,Western Bahr el Ghazal,345,65,,,,,
2020-02-01,Ezo,Ezo,WesternEquatoria,Western Equatoria,140,13,,,,,
2020-02-01,Ibba,Ibba,WesternEquatoria,Western Equatoria,89,20,,,,,
2020-02-01,Maridi,Maridi,WesternEquatoria,Western Equatoria,215,24,,,,,
2020-02-01,MundriEast,Mundri East,WesternEquatoria,Western Equatoria,121,19,,,,,
2020-02-01,MundriWest,Mundri West,WesternEquatoria,Western Equatoria,163,22,,,,,
2020-02-01,Mvolo,Mvolo,WesternEquatoria,Western Equatoria,145,20,,,,,
2020-02-01,Nagero,Nagero,WesternEquatoria,Western Equatoria,46,5,,,,,
2020-02-01,Nzara,Nzara,WesternEquatoria,Western Equatoria,145,14,,,,,
2020-02-01,Tambura,Tambura,WesternEquatoria,Western Equatoria,169,20,,,,,
2020-02-01,Yambio,Yambio,WesternEquatoria,Western Equatoria,215,29,,,,,
2020-01-01,Juba,Juba,CentralEquatoria,Central Equatoria,430,27,,,,,
2020-01-01,Kajo_keji,Kajo-keji,CentralEquatoria,Central Equatoria,272,16,,,,,
2020-01-01,Lainya,Lainya,CentralEquatoria,Central Equatoria,217,0,,,,,
2020-01-01,Morobo,Morobo,CentralEquatoria,Central Equatoria,137,0,,,,,
2020-01-01,Terekeka,Terekeka,CentralEquatoria,Central Equatoria,371,27,,,,,
2020-01-01,Yei,Yei,CentralEquatoria,Central Equatoria,254,17,,,,,
2020-01-01,Budi,Budi,EasternEquatoria,Eastern Equatoria,232,17,,,,,
2020-01-01,Ikotos,Ikotos,EasternEquatoria,Eastern Equatoria,231,0,,,,,
2020-01-01,KapoetaEast,Kapoeta East,EasternEquatoria,Eastern Equatoria,536,57,,,,,
2020-01-01,KapoetaNorth,Kapoeta North,EasternEquatoria,Eastern Equatoria,179,27,,,,,
2020-01-01,KapoetaSouth,Kapoeta South,EasternEquatoria,Eastern Equatoria,83,14,,,,,
2020-01-01,Lafon,Lafon,EasternEquatoria,Eastern Equatoria,99,0,,,,,
2020-01-01,Magwi,Magwi,EasternEquatoria,Eastern Equatoria,139,10,,,,,
2020-01-01,Torit,Torit,EasternEquatoria,Eastern Equatoria,242,16,,,,,
2020-01-01,Akobo,Akobo,Jonglei,Jonglei,189,49,,,,,
2020-01-01,Ayod,Ayod,Jonglei,Jonglei,274,36,,,,,
2020-01-01,BorSouth,Bor South,Jonglei,Jonglei,420,52,,,,,
2020-01-01,CanalPigi,Canal/Pigi,Jonglei,Jonglei,128,27,,,,,
2020-01-01,Duk,Duk,Jonglei,Jonglei,126,18,,,,,
2020-01-01,Fangak,Fangak,Jonglei,Jonglei,218,36,,,,,
2020-01-01,Nyirol,Nyirol,Jonglei,Jonglei,223,25,,,,,
2020-01-01,Pibor,Pibor,Jonglei,Jonglei,354,0,,,,,
2020-01-01,Pochalla,Pochalla,Jonglei,Jonglei,75,0,,,,,
2020-01-01,TwicEast,Twic East,Jonglei,Jonglei,222,37,,,,,
2020-01-01,Uror,Uror,Jonglei,Jonglei,212,28,,,,,
2020-01-01,Awerial,Awerial,Lakes,Lakes,203,40,,,,,
2020-01-01,Cueibet,Cueibet,Lakes,Lakes,396,23,,,,,
2020-01-01,RumbekCentre,Rumbek Centre,Lakes,Lakes,374,35,,,,,
2020-01-01,RumbekEast,Rumbek East,Lakes,Lakes,392,29,,,,,
2020-01-01,RumbekNorth,Rumbek North,Lakes,Lakes,119,17,,,,,
2020-01-01,Wulu,Wulu,Lakes,Lakes,145,17,,,,,
2020-01-01,YirolEast,Yirol East,Lakes,Lakes,367,35,,,,,
2020-01-01,YirolWest,Yirol West,Lakes,Lakes,359,39,,,,,
2020-01-01,AweilCentre,Aweil Centre,NorthernBahrelGhazal,Northern Bahr el Ghazal,217,33,,,,,
2020-01-01,AweilEast,Aweil East,NorthernBahrelGhazal,Northern Bahr el Ghazal,714,77,,,,,
2020-01-01,AweilNorth,Aweil North,NorthernBahrelGhazal,Northern Bahr el Ghazal,352,63,,,,,
2020-01-01,AweilSouth,Aweil South,NorthernBahrelGhazal,Northern Bahr el Ghazal,316,38,,,,,
2020-01-01,AweilWest,Aweil West,NorthernBahrelGhazal,Northern Bahr el Ghazal,370,45,,,,,
2020-01-01,Abiemnhom,Abiemnhom,Unity,Unity,23,13,,,,,
2020-01-01,Guit,Guit,Unity,Unity,194,29,,,,,
2020-01-01,Koch,Koch,Unity,Unity,437,33,,,,,
2020-01-01,Leer,Leer,Unity,Unity,346,41,,,,,
2020-01-01,Mayendit,Mayendit,Unity,Unity,367,40,,,,,
2020-01-01,Mayom,Mayom,Unity,Unity,163,19,,,,,
2020-01-01,Panyijiar,Panyijiar,Unity,Unity,479,36,,,,,
2020-01-01,Pariang,Pariang,Unity,Unity,188,62,,,,,
2020-01-01,Rubkona,Rubkona,Unity,Unity,290,35,,,,,
2020-01-01,Baliet,Baliet,UpperNile,Upper Nile,131,17,,,,,
2020-01-01,Fashoda,Fashoda,UpperNile,Upper Nile,199,40,,,,,
2020-01-01,Longochuk,Longochuk,UpperNile,Upper Nile,101,0,,,,,
2020-01-01,LuakpinyNasir,Luakpiny/Nasir,UpperNile,Upper Nile,156,31,,,,,
2020-01-01,Maban,Maban,UpperNile,Upper Nile,123,17,,,,,
2020-01-01,Maiwut,Maiwut,UpperNile,Upper Nile,82,0,,,,,
2020-01-01,Malakal,Malakal,UpperNile,Upper Nile,121,26,,,,,
2020-01-01,Manyo,Manyo,UpperNile,Upper Nile,83,13,,,,,
2020-01-01,Melut,Melut,UpperNile,Upper Nile,220,25,,,,,
2020-01-01,Panyikang,Panyikang,UpperNile,Upper Nile,98,20,,,,,
2020-01-01,Renk,Renk,UpperNile,Upper Nile,287,32,,,,,
2020-01-01,Ulang,Ulang,UpperNile,Upper Nile,139,31,,,,,
2020-01-01,GogrialEast,Gogrial East,Warrap,Warrap,263,36,,,,,
2020-01-01,GogrialWest,Gogrial West,Warrap,Warrap,358,32,,,,,
2020-01-01,TonjEast,Tonj East,Warrap,Warrap,73,8,,,,,
2020-01-01,TonjNorth,Tonj North,Warrap,Warrap,378,42,,,,,
2020-01-01,TonjSouth,Tonj South,Warrap,Warrap,91,13,,,,,
2020-01-01,Twic,Twic,Warrap,Warrap,358,39,,,,,
2020-01-01,JurRiver,Jur River,WesternBahrelGhazal,Western Bahr el Ghazal,812,66,,,,,
2020-01-01,Raja,Raja,WesternBahrelGhazal,Western Bahr el Ghazal,345,45,,,,,
2020-01-01,Wau,Wau,WesternBahrelGhazal,Western Bahr el Ghazal,345,59,,,,,
